reel,creator,hook,name,category,subcategory,destination,region,city,area,location_text,website,date_info,price_text,themes,confidence,saved_from,needs_location,needs_website,date_required,source_reel
DYw0g8-gms4,thefloridaqueenie,Six best beaches on Florida's west coast,Florida West Coast Beaches Roundup,list,roundup,florida,Gulf Coast,,,"Gulf Coast, Florida",,,,"nature, bucket-list, day-trip",high,1,,,,https://www.instagram.com/reel/DYw0g8-gms4/
DYw0g8-gms4,thefloridaqueenie,Manatees swim to your ankles at Boca Grande,Boca Grande Beach,nature,beach,florida,Gulf Coast,Boca Grande,Gasparilla Island,"Boca Grande Beach, Gasparilla Island, FL",,,,"nature, hidden-gem, bucket-list",high,1,Y,,Y,https://www.instagram.com/reel/DYw0g8-gms4/
DYw0g8-gms4,thefloridaqueenie,Sunken fort ruins beneath the waves,Fort DeSoto Park Beach,nature,beach,florida,Gulf Coast,St. Petersburg,,"Fort DeSoto Park, St. Petersburg, FL",,,,"hidden-gem, nature, bucket-list",high,1,Y,,Y,https://www.instagram.com/reel/DYw0g8-gms4/
DZFbv6LCL6o,thefloridaqueenie,"A full Tampa weekend, stolen clean",Hyde Park Village Weekend Itinerary,itinerary,weekend,florida,Gulf Coast,Tampa,Hyde Park,"Hyde Park Village, Tampa, FL",,,,"food, bucket-list, day-trip",high,1,Y,,Y,https://www.instagram.com/reel/DZFbv6LCL6o/
DZFbv6LCL6o,thefloridaqueenie,Where foodies check in and never leave,Epicurean Hotel,stay,boutique-hotel,florida,Gulf Coast,Tampa,Hyde Park,"Epicurean Hotel, 1207 S Howard Ave, Tampa, FL",https://www.epicureanhotel.com,,,"luxury, food",high,1,Y,Y,,https://www.instagram.com/reel/DZFbv6LCL6o/
DZFbv6LCL6o,thefloridaqueenie,"Best breakfast potatoes in Tampa, full stop",Elevage Restaurant,eat,restaurant,florida,Gulf Coast,Tampa,Hyde Park,"Elevage Restaurant, 1207 S Howard Ave, Tampa, FL",,,,"food, luxury",high,1,Y,Y,,https://www.instagram.com/reel/DZFbv6LCL6o/
DZFbv6LCL6o,thefloridaqueenie,Tacos so good she went twice,Bar Taco,eat,street-food,florida,Gulf Coast,Tampa,Hyde Park,"Bar Taco, Hyde Park Village, Tampa, FL",,,,"food, budget",high,1,Y,,,https://www.instagram.com/reel/DZFbv6LCL6o/
DZFbv6LCL6o,thefloridaqueenie,Filet and cookies-and-milk that haunts dreams,Meat Market Tampa,eat,fine-dining,florida,Gulf Coast,Tampa,Hyde Park,"Meat Market, 1615 W Swann Ave, Tampa, FL",,,,"food, luxury",high,1,Y,Y,,https://www.instagram.com/reel/DZFbv6LCL6o/
DZFbv6LCL6o,thefloridaqueenie,Aquariums that aren't just for kids,Florida Aquarium,see-do,experience,florida,Gulf Coast,Tampa,Downtown,"Florida Aquarium, 701 Channelside Dr, Tampa, FL",https://www.flaquarium.org,,,"family, bucket-list",high,1,Y,Y,,https://www.instagram.com/reel/DZFbv6LCL6o/
DZFbv6LCL6o,thefloridaqueenie,Sunset bikes past waterfront mansions,Bayshore Boulevard,see-do,experience,florida,Gulf Coast,Tampa,Hyde Park,"Bayshore Boulevard, Tampa, FL",,,,"free, photo-spot, nature",high,1,Y,Y,,https://www.instagram.com/reel/DZFbv6LCL6o/
DZKlLbkj7GQ,thefloridaqueenie,Free rum tour converts the skeptics,Lugo's Craft Distillery,drink,cocktail-bar,florida,Gulf Coast,Lakeland,,"Lugo's Craft Distillery, 2500 Drane Field Rd STE 208, Lakeland, FL 33811",,,Free tour and tasting,"hidden-gem, free, food",high,1,Y,Y,,https://www.instagram.com/reel/DZKlLbkj7GQ/
DZU4QkNHWIL,thefloridaqueenie,"Pink decor, perfect food, elephant charms",The Pink Elephant Restaurant,eat,restaurant,florida,Gulf Coast,Boca Grande,Gasparilla Island,"The Pink Elephant Restaurant, Boca Grande, FL",,,,"hidden-gem, food, photo-spot",high,1,Y,Y,,https://www.instagram.com/reel/DZU4QkNHWIL/
DZU4QkNHWIL,thefloridaqueenie,Old Florida grandeur you can walk through,Gasparilla Inn and Club,see-do,landmark,florida,Gulf Coast,Boca Grande,Gasparilla Island,"Gasparilla Inn and Club, 500 Palm Ave, Boca Grande, FL",https://www.the-gasparilla-inn.com,,,"bucket-list, luxury, photo-spot",high,1,Y,,,https://www.instagram.com/reel/DZU4QkNHWIL/
DZm5XU2DVja,thefloridaqueenie,Florida's most charming island library,Johan Fust Community Library,shop,bookstore,florida,Gulf Coast,Boca Grande,,"Johan Fust Community Library, Boca Grande, FL",,,,"hidden-gem, photo-spot",medium,1,Y,,,https://www.instagram.com/reel/DZm5XU2DVja/
DZsDOnDCk4k,thefloridaqueenie,"A bookstore, tea, and champagne in one",Oxford Exchange,shop,bookstore,florida,,Tampa,,"420 W Kennedy Blvd, Tampa, FL 33606",https://www.oxfordexchange.com,,,"hidden-gem, photo-spot, food",high,1,Y,,,https://www.instagram.com/reel/DZsDOnDCk4k/
DQZ8omxCra0,exploringlondon,London's underground rollercoaster theme park,Babylon Park,see-do,experience,london,,London,,"Babylon Park, London",,,,"family, hidden-gem",medium,1,Y,Y,,https://www.instagram.com/reel/DQZ8omxCra0/
DQZ8omxCra0,exploringlondon,Step inside Minecraft in real life,Minecraft Experience,see-do,experience,london,,London,,"Minecraft Experience, London",,,10% off via Fever with code EXPLORINGLONDON10,family,medium,1,Y,Y,,https://www.instagram.com/reel/DQZ8omxCra0/
DQZ8omxCra0,exploringlondon,Escape 31 rooms to win,Prison Island Experience,see-do,experience,london,,London,,"Prison Island Experience, London",,,10% off via Fever with code EXPLORINGLONDON10,family,medium,1,Y,Y,,https://www.instagram.com/reel/DQZ8omxCra0/
DU5LQKgivxL,exploringlondon,The world's only Avatar experience,Avatar: The Experience,see-do,experience,other,,Madrid,,"Avatar: The Experience, Madrid",,,10% off with code EXPLORINGLONDON10,bucket-list,medium,1,Y,Y,,https://www.instagram.com/reel/DU5LQKgivxL/
DU5LQKgivxL,exploringlondon,Candlelight concerts in a stunning venue,Candlelight Concerts Madrid,see-do,show,other,,Madrid,,"Candlelight Concerts, Madrid",https://feverup.com,,,"bucket-list, nightlife",medium,1,Y,Y,Y,https://www.instagram.com/reel/DU5LQKgivxL/
DU5LQKgivxL,exploringlondon,Immersive projections inside a church,Ionarium Flow,see-do,experience,other,,Madrid,,"Ionarium Flow, Madrid",,,,"bucket-list, photo-spot",medium,1,Y,Y,,https://www.instagram.com/reel/DU5LQKgivxL/
DU5LQKgivxL,exploringlondon,Europe's largest royal palace awaits,Royal Palace of Madrid,see-do,landmark,other,,Madrid,,"Royal Palace of Madrid, Calle de Bailén, Madrid",https://www.patrimonionacional.es/real-sitio/palacio-real-de-madrid,,,bucket-list,high,1,Y,,,https://www.instagram.com/reel/DU5LQKgivxL/
DU81guair4l,exploringlondon,Free Edwardian baroque splendor in Woolwich,Woolwich Town Hall — Victoria Hall,see-do,landmark,london,,London,Woolwich,"Woolwich Town Hall, Wellington Street, Woolwich, London",,,Free,"free, hidden-gem, photo-spot",high,1,Y,,,https://www.instagram.com/reel/DU81guair4l/
DU8ZVorilHl,exploringlondon,"Europe's largest bookshop, all five floors",Waterstones Piccadilly,shop,bookstore,london,,London,Piccadilly,"203-206 Piccadilly, London, W1J 9HD",https://www.waterstones.com/bookshops/piccadilly,,,"bucket-list, family",high,2,Y,,,https://www.instagram.com/reel/DU8ZVorilHl/
DV0wt9LCurc,exploringlondon,Sichuan hand-pulled noodles near Battersea,DanDan Restaurant,eat,restaurant,london,,London,Nine Elms,"DanDan Restaurant, Moat St, Nine Elms, London, SW11 7EU",,,Lunch special from £8.60,"food, budget",high,1,Y,Y,,https://www.instagram.com/reel/DV0wt9LCurc/
DVCRqpxivby,exploringlondon,London's prettiest pink Town Hall,Woolwich Town Hall,see-do,landmark,london,,London,Woolwich,"Woolwich Town Hall, Wellington Street, Woolwich, London SE18 6PW",,,Free,"free, hidden-gem, photo-spot",high,2,Y,,,https://www.instagram.com/reel/DVCRqpxivby/
DVEzkiCCskK,exploringlondon,A secret café hidden inside a fashion house,Alaïa London Café & Bookshop,drink,coffee,london,,London,Mayfair,"139 New Bond Street, London, W1S 2TL",,,,"hidden-gem, photo-spot, food",high,1,Y,,,https://www.instagram.com/reel/DVEzkiCCskK/
DVMc2Jpis14,exploringlondon,Four unmissable musical nights in London,"London Musical Experiences: Leo Green, Cinematic, Van Morrison Alumni & Burlesque",list,themed-collection,london,,London,,,,Burlesque the Musical returning to London summer season,15% off first 3 with code EXPLORE15,nightlife,medium,1,,,,https://www.instagram.com/reel/DVMc2Jpis14/
DVQ1IchjCWo,exploringlondon,A live-action sci-fi game with real stakes,Lander23 by Punchdrunk,see-do,experience,london,,London,Woolwich,"Lander23, Woolwich, London",,,,"hidden-gem, bucket-list, nightlife",high,1,Y,Y,,https://www.instagram.com/reel/DVQ1IchjCWo/
DVS6rdlimtr,exploringlondon,The world's first immersive video game,Boom Lab London,see-do,experience,london,,London,Shoreditch,"83 Rivington St, London EC2A 3AY",,,From £22.90 per person; 10% off on Fever with code EXPLORINGLONDON10,"bucket-list, family",high,1,Y,Y,,https://www.instagram.com/reel/DVS6rdlimtr/
DVUU0DTCtvV,exploringlondon,Afternoon tea fit for a duchess,The Lanesborough,eat,fine-dining,london,,London,Hyde Park Corner,"The Lanesborough, Hyde Park Corner, London SW1X 7TA",https://www.lanesborough.com,Bridgerton-themed tea available at time of filming (early 2026),,"luxury, bucket-list",high,1,Y,Y,,https://www.instagram.com/reel/DVUU0DTCtvV/
DVUU0DTCtvV,exploringlondon,A sky garden hiding above the train,Crossrail Place Roof Garden,nature,park-garden,london,,London,Canary Wharf,"Crossrail Place Roof Garden, Canary Wharf, London E14 5AR",,,free,"hidden-gem, free, nature",high,2,Y,,,https://www.instagram.com/reel/DVUU0DTCtvV/
DVUU0DTCtvV,exploringlondon,Rise up a real chimney stack,Lift 109 at Battersea Power Station,view,observation-deck,london,,London,Battersea,"Battersea Power Station, London SW8 5BN",https://batterseapowerstation.co.uk,,,"bucket-list, photo-spot",high,1,Y,Y,,https://www.instagram.com/reel/DVUU0DTCtvV/
DVUU0DTCtvV,exploringlondon,Walk on glass above the Thames,Tower Bridge Glass Walkway,view,scenic-overlook,london,,London,Southwark,"Tower Bridge, London SE1 2UP",https://www.towerbridge.org.uk,,,"bucket-list, photo-spot",high,1,Y,,,https://www.instagram.com/reel/DVUU0DTCtvV/
DVWuVLlCrWc,exploringlondon,Handmade pasta certified gluten-free,Mattarello Bolognese,eat,restaurant,london,,London,Aldgate,"Mattarello Bolognese, Aldgate, London",,,,food,medium,1,Y,Y,,https://www.instagram.com/reel/DVWuVLlCrWc/
DVWuVLlCrWc,exploringlondon,Eritrean platter with Tower Bridge views,House of Habesha at Tower Bridge Collective,eat,restaurant,london,,London,Tower Bridge,"Tower Bridge Collective, Tower Bridge, London",,,,"food, photo-spot",medium,1,Y,Y,,https://www.instagram.com/reel/DVWuVLlCrWc/
DVWuVLlCrWc,exploringlondon,Covent Garden's cosiest French corner,Chez Antoinette,eat,restaurant,london,,London,Covent Garden,"Chez Antoinette, Covent Garden, London",,,,"food, hidden-gem",medium,1,Y,Y,,https://www.instagram.com/reel/DVWuVLlCrWc/
DVY9VmYilMp,exploringlondon,Giant balloons inside a legendary store,Liberty Scarf Kiosk Balloon Installation,see-do,experience,london,,London,Carnaby,"Liberty London, Regent St., Carnaby, W1B 5AH",https://www.libertylondon.com,Until end of March 2026,free to view,"photo-spot, seasonal",high,1,Y,Y,,https://www.instagram.com/reel/DVY9VmYilMp/
DV_SABJip5R,exploringlondon,A hidden beach beneath the city,"Pelican Stairs, Wapping",see-do,experience,london,,London,Wapping,"Pelican Stairs, Wapping, London E1W",,Only accessible at low tide,free,"hidden-gem, free, nature",high,1,Y,Y,,https://www.instagram.com/reel/DV_SABJip5R/
DV_SABJip5R,exploringlondon,Royal history in a sunken garden,Kensington Palace and The Sunken Garden,see-do,landmark,london,,London,Kensington,"Kensington Palace, Kensington Gardens, London W8 4PX",https://www.hrp.org.uk/kensington-palace/,,,"bucket-list, photo-spot",high,1,Y,,,https://www.instagram.com/reel/DV_SABJip5R/
DV_SABJip5R,exploringlondon,A secret garden in bombed-out ruins,St Dunstan in the East,nature,park-garden,london,,London,City of London,"St Dunstan in the East, St Dunstan's Hill, London EC3R 5DD",,,free,"hidden-gem, free, photo-spot",high,1,Y,,,https://www.instagram.com/reel/DV_SABJip5R/
DVbMFLTCqET,exploringlondon,Step inside the ton's ballroom,Bridgerton Immersive Pop-Up at Liberty London,see-do,experience,london,,London,Carnaby,"Liberty London, Fourth Floor, Regent St., Carnaby, W1B 5AH",https://www.libertylondon.com,"Until March 23, 2026",,"seasonal, photo-spot",high,1,Y,Y,,https://www.instagram.com/reel/DVbMFLTCqET/
DVejqg4CsdG,exploringlondon,Coffees pulled from a minus-86 freezer,Onsu Bakery,drink,coffee,london,,London,Chinatown,"Onsu Bakery, near Chinatown, London",,,£5.20 per drink,"hidden-gem, food",high,1,Y,,,https://www.instagram.com/reel/DVejqg4CsdG/
DVgmq0Siih-,exploringlondon,London's own Diagon Alley for books,Cecil Court,shop,bookstore,london,,London,Covent Garden,"Cecil Court, London WC2N 4HE",,,free to browse,"hidden-gem, free",high,1,Y,,,https://www.instagram.com/reel/DVgmq0Siih-/
DViapb6Cu4m,exploringlondon,London's only all-bomboloni bakery,Bombolone London,eat,bakery-dessert,london,,London,Leicester Square,"21 Whitcomb St., London WC2H 7HA",,Spring selection available at time of filming,,"food, hidden-gem",high,1,Y,,,https://www.instagram.com/reel/DViapb6Cu4m/
DVqbxTUCuCI,exploringlondon,Eat at London restaurants for half price,First Table App: London Restaurant Hack,plan,budget-hack,london,,London,,,https://www.firsttable.co.uk,,£4-£8 booking fee; 50% off food bill,"budget, food",high,1,,,,https://www.instagram.com/reel/DVqbxTUCuCI/
DVqbxTUCuCI,exploringlondon,French elegance at Langham Place,Richoux Langham Place,eat,fine-dining,london,,London,Marylebone,"Richoux, Langham Place, London W1B 3DE",,,50% off food via First Table app,"luxury, food",medium,1,Y,Y,,https://www.instagram.com/reel/DVqbxTUCuCI/
DVqbxTUCuCI,exploringlondon,Seasonal Soho cooking worth the queue,Nessa Soho,eat,restaurant,london,,London,Soho,"Nessa, Soho, London",,,50% off food via First Table app,food,medium,1,Y,Y,,https://www.instagram.com/reel/DVqbxTUCuCI/
DVqbxTUCuCI,exploringlondon,Wholesome vegan food near Chinatown,Vantra London,eat,restaurant,london,,London,Chinatown,"Vantra, near Chinatown, London W1D",,,50% off food via First Table app,"food, budget",medium,1,Y,Y,,https://www.instagram.com/reel/DVqbxTUCuCI/
DW1iauZCn92,exploringlondon,Dine inside London's living museum,Rules Restaurant,eat,restaurant,london,,London,Covent Garden,"35 Maiden Lane, London WC2E 7LB",https://www.rules.co.uk,,,"bucket-list, hidden-gem",high,1,Y,Y,,https://www.instagram.com/reel/DW1iauZCn92/
DW6evLpCpMa,exploringlondon,Fairytale castle drowned in tulips,Arundel Castle Tulip Festival,see-do,experience,london,West Sussex,Arundel,,"Arundel Castle, High Street, Arundel BN18 9LH",https://www.arundelcastle.org,Tulip Festival in spring (peak April-May); under 2 hours from London by Southern Railway from Victoria to Arundel Station.,Gardens only from £17pp; add castle visit for £2 extra,"day-trip, seasonal, photo-spot",high,1,Y,Y,,https://www.instagram.com/reel/DW6evLpCpMa/
DW6poYaCjxC,exploringlondon,Dance with dinosaurs after dark,Natural History Museum Silent Disco,see-do,nightlife,london,,London,South Kensington,"Natural History Museum, Cromwell Road, London SW7 5BD",https://www.nhm.ac.uk,"2026 dates: 16 May, 22 May, 26 June, 31 July, 14 Aug, 28 Aug, 25 Sep",,"bucket-list, nightlife, seasonal",high,1,Y,,,https://www.instagram.com/reel/DW6poYaCjxC/
DWCkYqTikze,exploringlondon,"World's oldest museum cafe, impossibly grand","The Gamble Room, V&A Museum",drink,coffee,london,,London,South Kensington,"V&A Museum, Cromwell Road, London SW7 2RL",https://www.vam.ac.uk,,Free museum entry; food and drinks at cafe prices,"hidden-gem, free, photo-spot",high,1,Y,,,https://www.instagram.com/reel/DWCkYqTikze/
DWEBv0YCv1W,exploringlondon,Step inside medieval France via VR,The Last Stronghold VR Experience,see-do,experience,london,,London,Shepherd's Bush,"W12 Shopping Centre, Shepherd's Bush Green, London W12 8PP",https://www.feverup.com,,"Adults from £18.50, children from £14.50; 10% off with code EXPLORINGLONDON10","bucket-list, family",high,1,Y,Y,,https://www.instagram.com/reel/DWEBv0YCv1W/
DWHfDpGCjJA,exploringlondon,Pink rooftop dining above Battersea,Joia at Art'otel Battersea,eat,fine-dining,london,,London,Battersea,"Art'otel London Battersea Power Station, London",https://www.joia.restaurant,,,"luxury, photo-spot, bucket-list",medium,1,Y,Y,,https://www.instagram.com/reel/DWHfDpGCjJA/
DWRQ8IniqVj,exploringlondon,Eight unmissable free London gems,8 Free Things to Do in London,list,roundup,london,,London,,,,,Free,"free, budget, hidden-gem",medium,1,,,,https://www.instagram.com/reel/DWRQ8IniqVj/
DWRQ8IniqVj,exploringlondon,"A great architect's home, now a museum",Sir John Soane's Museum,see-do,museum-gallery,london,,London,Holborn,"13 Lincoln's Inn Fields, London WC2A 3BP",https://www.soane.org,,Free,"free, hidden-gem",high,1,Y,Y,,https://www.instagram.com/reel/DWRQ8IniqVj/
DWUu1xHimzd,exploringlondon,Enter Cleopatra's world with VR,Cleopatra Immersive Experience,see-do,experience,london,,London,Royal Docks,"Immerse LDN, Excel Waterfront, London",https://www.feverup.com,,"From £27 adults, £22 children; 10% off with code EXPLORINGLONDON10","bucket-list, family",medium,1,Y,Y,,https://www.instagram.com/reel/DWUu1xHimzd/
DWZYFMvCsV_,exploringlondon,London's oldest secret garden since 1673,Chelsea Physic Garden,nature,park-garden,london,,London,Chelsea,"66 Royal Hospital Road, London SW3 4HS",https://www.chelseaphysicgarden.co.uk,"Open Sunday-Friday, 11am-5pm",£5-£15 entry,"hidden-gem, nature, photo-spot",high,1,Y,,,https://www.instagram.com/reel/DWZYFMvCsV_/
DW_GpsJimPa,exploringlondon,Portuguese natas and Britain's best coffee,Tamp Coffee,drink,coffee,london,,London,Chiswick,"1 Devonshire Road, Chiswick, London W4 2EU",,,,"hidden-gem, food",high,1,Y,,,https://www.instagram.com/reel/DW_GpsJimPa/
DWdgueoirzU,exploringlondon,Japan meets London in a bagel,Tokyo Bagel,eat,bakery-dessert,london,,London,,"Tokyo Bagel, London",,Spring menu including sakura matcha available seasonally,,"hidden-gem, food, photo-spot",high,1,Y,,,https://www.instagram.com/reel/DWdgueoirzU/
DWgtQV3isBf,exploringlondon,TfL merch inside a fashion giant,Uniqlo Covent Garden,shop,boutique,london,,London,Covent Garden,"19-21 Long Acre, London WC2E 9DP",https://www.uniqlo.com,,,photo-spot,high,1,Y,,,https://www.instagram.com/reel/DWgtQV3isBf/
DWgtQV3isBf,exploringlondon,Matcha with a London rooftop terrace,Katsute 100 at Uniqlo Covent Garden,drink,coffee,london,,London,Covent Garden,"19-21 Long Acre, London WC2E 9DP, 4th floor",,,,"hidden-gem, food",high,1,Y,,,https://www.instagram.com/reel/DWgtQV3isBf/
DWjkRlXCtyP,exploringlondon,Free tulip garden in central London,Victoria Embankment Gardens,nature,park-garden,london,,London,Embankment,"Villiers St, London WC2N 6DU",,Tulips in bloom until end of April; open daily until 8pm (seasonal hours vary),free,"free, photo-spot, seasonal, nature",high,1,Y,,,https://www.instagram.com/reel/DWjkRlXCtyP/
DWl_-2xigb7,exploringlondon,Sip coffee inside outer space,Bex Coffee,drink,coffee,london,,London,Bloomsbury,"Unit 20, Brunswick Centre, WC1N 1AW",,"Open Mon-Sat 8am-8pm, Sun 9am-6pm",£5.90 waffle bowls,"hidden-gem, photo-spot",medium,1,Y,,,https://www.instagram.com/reel/DWl_-2xigb7/
DWonzjVilFp,exploringlondon,A stationery lover's secret Bloomsbury den,Present and Correct,shop,specialty,london,,London,Bloomsbury,"12 Bury Pl, London WC1A 2JL",https://www.presentandcorrect.com,Open Mon-Sat 11am-6pm,,hidden-gem,high,1,Y,,,https://www.instagram.com/reel/DWonzjVilFp/
DWtflI9CvXQ,exploringlondon,Secret garden cafe behind a London church,Espresso Base at St George's Court,drink,coffee,london,,London,Bloomsbury,"St Georges Court, Bloomsbury Way, London WC1A 2SE",,"Open Monday to Thursday, 10:30-15:00",,"hidden-gem, photo-spot",medium,1,Y,,,https://www.instagram.com/reel/DWtflI9CvXQ/
DX6jnZkKKgK,exploringlondon,A postcard city one hour from London,Cambridge Day Trip,itinerary,day-trip,london,,Cambridge,,"Cambridge, UK",,,,"day-trip, bucket-list",high,1,Y,,Y,https://www.instagram.com/reel/DX6jnZkKKgK/
DX6jnZkKKgK,exploringlondon,Watch noodles pulled right before you,JWD Noodle,eat,restaurant,other,,Cambridge,,"55-57 Regent St, Cambridge, CB2 1AB",,20% off at Cambridge branch until 25 May (check current dates),"budget-friendly, 20% off launch discount","budget, food",high,1,Y,Y,,https://www.instagram.com/reel/DX6jnZkKKgK/
DX6jnZkKKgK,exploringlondon,Climb a tower for Cambridge's best view,Great St Mary's Church Tower,view,scenic-overlook,other,,Cambridge,,"Great St Mary's Church, Senate House Hill, Cambridge",,,,"photo-spot, day-trip",high,1,Y,,,https://www.instagram.com/reel/DX6jnZkKKgK/
DXCZPVzCrkW,exploringlondon,A house covered in 25 years of mosaics,Mosaic House Chiswick,see-do,landmark,london,,London,Chiswick,"4-6 Fairlawn Grove, London W4 5EL",,,free (exterior only),"hidden-gem, free, photo-spot",high,1,Y,,,https://www.instagram.com/reel/DXCZPVzCrkW/
DXHYxsJCjQO,exploringlondon,A man inside a clock draws the time,Maarten Baas Real Time Clock,see-do,landmark,london,,London,Paddington,"50 Eastbourne Terrace, Paddington, London W2 6LG",,,free,"hidden-gem, free, photo-spot",high,1,Y,,,https://www.instagram.com/reel/DXHYxsJCjQO/
DXRsH7XCgQV,exploringlondon,The most beautiful loos on the Tube,Piccadilly Circus Station Toilets,see-do,landmark,london,,London,Piccadilly,"Piccadilly Circus Underground Station, near Exit 1, London",,,£1 to enter,"hidden-gem, photo-spot",high,1,Y,,,https://www.instagram.com/reel/DXRsH7XCgQV/
DXT7_nujLxu,exploringlondon,Fake houses hiding a Victorian railway,Leinster Gardens Fake Facades,see-do,landmark,london,,London,Bayswater,"23-24 Leinster Gardens, London W2 3BH",,,free,"hidden-gem, free",high,1,Y,,,https://www.instagram.com/reel/DXT7_nujLxu/
DXZhSfiihQv,exploringlondon,"Free East London rooftop views, no booking",V&A East Museum Roof Terrace,view,skyline,london,,London,Stratford,"3rd Floor, V&A East Museum, 107 Carpenters Rd, Stratford Cross, E20 2AR",https://www.vam.ac.uk/east,Open daily 10am-6pm; Thursdays and Saturdays until 10pm,free,"free, photo-spot, bucket-list",high,1,Y,,,https://www.instagram.com/reel/DXZhSfiihQv/
DX_0jD7qQ1p,exploringlondon,"Queen's wardrobe, century by century",Queen Elizabeth II: Her Life in Style,see-do,museum-gallery,london,,London,Westminster,"The King's Gallery, Buckingham Palace, London SW1A 1AA",https://www.rct.uk,Open now until 18 October 2026,,"bucket-list, seasonal",high,1,Y,Y,,https://www.instagram.com/reel/DX_0jD7qQ1p/
DXcS_9YCg8f,exploringlondon,"London's only pozoleria, in Peckham",Maiz,eat,restaurant,london,,London,Peckham,"58 Peckham Rye, London SE15 4JR",,,,"hidden-gem, food",high,1,Y,Y,,https://www.instagram.com/reel/DXcS_9YCg8f/
DXgfy5kitlx,exploringlondon,Coffee beneath a rumbling train station,Dovedale's,drink,coffee,london,,London,Peckham,"212 Archway, 24 Blenheim Grove, London SE15 4QL",,Open 8am–5pm daily,,"hidden-gem, photo-spot",high,1,Y,,,https://www.instagram.com/reel/DXgfy5kitlx/
DXrpP1ZCjIC,exploringlondon,Allegedly the UK's biggest chocolate fountain,Chocofay,eat,bakery-dessert,london,,Grays,Lakeside,"Food Court, Lakeside Shopping Centre, Kiosk ET2, West Thurrock Way, Grays, RM20 2ZJ",,,,"hidden-gem, food, family",high,1,Y,,,https://www.instagram.com/reel/DXrpP1ZCjIC/
DXwUxCjqCuF,exploringlondon,Rooftop Middle Eastern oasis above Soho,Yasmin,eat,restaurant,london,,London,Soho,"Yasmin restaurant, Soho, London",,,50% off food when booked off-peak via First Table app (£4–£8 booking fee),"hidden-gem, food, photo-spot",medium,1,Y,Y,,https://www.instagram.com/reel/DXwUxCjqCuF/
DXwUxCjqCuF,exploringlondon,Descend past an olive tree for Sichuan,Fresh Feast,eat,restaurant,london,,London,,"Fresh Feast restaurant, London",,,50% off food when booked off-peak via First Table app (£4–£8 booking fee),"hidden-gem, food",medium,1,Y,Y,,https://www.instagram.com/reel/DXwUxCjqCuF/
DXwUxCjqCuF,exploringlondon,Seasonal British dining inside a Victoria hotel,The Idler,eat,restaurant,london,,London,Victoria,"The Idler, The July Hotel, Victoria, London",,,50% off food when booked off-peak via First Table app (£4–£8 booking fee),"hidden-gem, food",medium,1,Y,Y,,https://www.instagram.com/reel/DXwUxCjqCuF/
DXzS4qMq5H9,exploringlondon,The Indian princess who defied Queen Victoria,The Last Princesses of Punjab,see-do,museum-gallery,london,,London,Kensington,"Kensington Palace, Kensington Gardens, London W8 4PX",https://www.hrp.org.uk,Open until 8 November 2026,20% off with code EXPLORING20; student savings available,"bucket-list, seasonal",high,1,Y,Y,,https://www.instagram.com/reel/DXzS4qMq5H9/
DY-SBSdqdzY,exploringlondon,Hot pot until 3am in Leicester Square,Nan Hot Pot,eat,restaurant,london,,London,Leicester Square,"1 Leicester Place, London WC2H 7BP",,Open until 3am,,"hidden-gem, food, nightlife",high,1,Y,Y,,https://www.instagram.com/reel/DY-SBSdqdzY/
DY0MlP4q3X-,exploringlondon,Hundreds of drones paint the night sky,Drone Art Show,see-do,show,london,,London,,"Kempton Park Racecourse, Staines Road East, Sunbury-on-Thames TW16 5AQ",https://feverup.com,Multiple dates; join waitlist on Fever for upcoming shows,10% off with code EXPLORINGLONDON10,"bucket-list, family, photo-spot, seasonal",high,1,Y,Y,Y,https://www.instagram.com/reel/DY0MlP4q3X-/
DY7rSzQKgIQ,exploringlondon,The UK's only panda photo booth,Rua Rua Panda,shop,specialty,london,,London,Marylebone,"23 St Christopher's Place, London W1U 1NR",https://bamboozoo.uk,,,"hidden-gem, family, photo-spot",high,1,Y,,,https://www.instagram.com/reel/DY7rSzQKgIQ/
DYB_zprKfzb,exploringlondon,Step onto a real TV game show set,Quiz Room,see-do,experience,london,,London,Spitalfields,"19–25 Bell Lane, London E1 7LA",,,"From £25 per person, up to 18 people per game","nightlife, bucket-list, family",high,1,Y,Y,,https://www.instagram.com/reel/DYB_zprKfzb/
DYC9gsUqRmP,exploringlondon,Mexican hacienda hidden in Spitalfields,Tiger Milk Spitalfields,eat,restaurant,london,,London,Spitalfields,"The London Fruit & Wool Exchange, Crispin St, London E1 6AG",,,,"hidden-gem, food, nightlife",high,1,Y,Y,,https://www.instagram.com/reel/DYC9gsUqRmP/
DYE8hlfqYPg,exploringlondon,"Attenborough's planet story, free outdoors",Our Story with David Attenborough – Outernet,see-do,experience,london,,London,Covent Garden,"Outernet London, Charing Cross Rd, London WC2H 8LH",,May 2026 only (free Outernet screening); full 50-min production at Natural History Museum until 30 August 2026,"Free, no booking required","free, seasonal, bucket-list",high,1,Y,Y,,https://www.instagram.com/reel/DYE8hlfqYPg/
DYE8hlfqYPg,exploringlondon,Walk inside Attenborough's planet vision,Our Story with David Attenborough – Natural History Museum,see-do,experience,london,,London,South Kensington,"Natural History Museum, Cromwell Rd, London SW7 5BD",,Until 30 August 2026,Tickets from £18 (discounted at opening),"bucket-list, seasonal",high,1,Y,Y,,https://www.instagram.com/reel/DYE8hlfqYPg/
